epoch student_adv student_nat score
0 0.2080 0.4323 0.3201 
1 0.2319 0.4844 0.3581 
10 0.3335 0.7156 0.5246 
20 0.3674 0.7709 0.5692 
30 0.3974 0.8115 0.6044 
40 0.3902 0.7993 0.5948 
50 0.4156 0.8270 0.6213 
60 0.4290 0.8136 0.6213 
70 0.4104 0.8339 0.6221 
80 0.4272 0.8435 0.6354 
90 0.4461 0.8387 0.6424 
100 0.4624 0.8398 0.6511 
110 0.5083 0.8588 0.6835 
120 0.5131 0.8588 0.6860 
130 0.5153 0.8579 0.6866 
140 0.5188 0.8571 0.6880 
150 0.5199 0.8597 0.6898 
160 0.5219 0.8596 0.6907 
170 0.5229 0.8591 0.6910 
180 0.5229 0.8595 0.6912 
190 0.5239 0.8583 0.6911 
200 0.5232 0.8588 0.6910 
210 0.5267 0.8595 0.6931 
216 0.5289 0.8587 0.6938 
217 0.5285 0.8605 0.6945 
218 0.5271 0.8611 0.6941 
219 0.5276 0.8629 0.6952 
220 0.5277 0.8642 0.6959 
221 0.5265 0.8651 0.6958 
222 0.5262 0.8658 0.6960 
223 0.5259 0.8663 0.6961 
224 0.5258 0.8668 0.6963 
225 0.5251 0.8669 0.6960 
226 0.5262 0.8677 0.6969 
227 0.5271 0.8680 0.6976 
228 0.5261 0.8676 0.6968 
229 0.5272 0.8679 0.6976 
230 0.5273 0.8682 0.6977 
231 0.5276 0.8677 0.6976 
232 0.5282 0.8683 0.6983 
233 0.5289 0.8690 0.6989 
234 0.5289 0.8687 0.6988 
235 0.5277 0.8690 0.6984 
236 0.5281 0.8693 0.6987 
237 0.5288 0.8695 0.6992 
238 0.5283 0.8696 0.6989 
239 0.5290 0.8692 0.6991 
240 0.5296 0.8694 0.6995 
241 0.5290 0.8696 0.6993 
242 0.5281 0.8694 0.6987 
243 0.5285 0.8695 0.6990 
244 0.5282 0.8697 0.6989 
245 0.5283 0.8694 0.6988 
246 0.5289 0.8696 0.6993 
247 0.5287 0.8699 0.6993 
248 0.5286 0.8691 0.6988 
249 0.5285 0.8693 0.6989 
250 0.5284 0.8694 0.6989 
251 0.5279 0.8691 0.6985 
252 0.5283 0.8691 0.6987 
253 0.5279 0.8695 0.6987 
254 0.5271 0.8691 0.6981 
255 0.5270 0.8693 0.6982 
256 0.5273 0.8693 0.6983 
257 0.5265 0.8693 0.6979 
258 0.5268 0.8691 0.6980 
259 0.5269 0.8685 0.6977 
260 0.5272 0.8692 0.6982 
261 0.5273 0.8689 0.6981 
262 0.5268 0.8693 0.6981 
263 0.5271 0.8693 0.6982 
264 0.5272 0.8694 0.6983 
265 0.5273 0.8704 0.6988 
266 0.5270 0.8711 0.6990 
267 0.5269 0.8712 0.6990 
268 0.5270 0.8717 0.6994 
269 0.5267 0.8717 0.6992 
270 0.5269 0.8721 0.6995 
271 0.5255 0.8718 0.6986 
272 0.5255 0.8721 0.6988 
273 0.5259 0.8721 0.6990 
274 0.5261 0.8725 0.6993 
275 0.5259 0.8721 0.6990 
276 0.5256 0.8719 0.6987 
277 0.5270 0.8720 0.6995 
278 0.5261 0.8718 0.6989 
279 0.5265 0.8717 0.6991 
280 0.5263 0.8720 0.6991 
281 0.5263 0.8726 0.6995 
282 0.5264 0.8728 0.6996 
283 0.5261 0.8726 0.6994 
284 0.5263 0.8724 0.6993 
285 0.5256 0.8723 0.6989 
286 0.5264 0.8723 0.6993 
287 0.5260 0.8722 0.6991 
288 0.5260 0.8722 0.6991 
289 0.5267 0.8722 0.6994 
290 0.5267 0.8723 0.6995 
291 0.5269 0.8721 0.6995 
292 0.5267 0.8722 0.6994 
293 0.5267 0.8722 0.6994 
294 0.5271 0.8725 0.6998 
295 0.5269 0.8725 0.6997 
296 0.5264 0.8725 0.6995 
297 0.5265 0.8725 0.6995 
298 0.5271 0.8725 0.6998 
299 0.5261 0.8726 0.6994 
300 0.5268 0.8726 0.6997 
