epoch student_adv student_nat score
0 0.0567 0.1158 0.0862 
1 0.0809 0.1778 0.1294 
10 0.1633 0.4092 0.2863 
20 0.2002 0.4885 0.3443 
30 0.2122 0.5456 0.3789 
40 0.2114 0.5519 0.3816 
50 0.2205 0.5688 0.3947 
60 0.2307 0.5658 0.3982 
70 0.2324 0.5815 0.4070 
80 0.2433 0.5754 0.4093 
90 0.2361 0.5919 0.4140 
100 0.2547 0.5911 0.4229 
110 0.2916 0.6241 0.4578 
120 0.2918 0.6232 0.4575 
130 0.2927 0.6238 0.4583 
140 0.2945 0.6240 0.4592 
150 0.2956 0.6228 0.4592 
160 0.2977 0.6232 0.4605 
170 0.2981 0.6240 0.4610 
180 0.2977 0.6241 0.4609 
190 0.2994 0.6229 0.4612 
200 0.2994 0.6232 0.4613 
210 0.3016 0.6218 0.4617 
216 0.3011 0.6228 0.4619 
217 0.3004 0.6245 0.4625 
218 0.3008 0.6260 0.4634 
219 0.3000 0.6276 0.4638 
220 0.2988 0.6282 0.4635 
221 0.2989 0.6288 0.4638 
222 0.2988 0.6288 0.4638 
223 0.2994 0.6293 0.4643 
224 0.2974 0.6303 0.4638 
225 0.2964 0.6308 0.4636 
226 0.2966 0.6319 0.4642 
227 0.2960 0.6324 0.4642 
228 0.2957 0.6331 0.4644 
229 0.2964 0.6338 0.4651 
230 0.2962 0.6343 0.4652 
231 0.2950 0.6338 0.4644 
232 0.2953 0.6346 0.4650 
233 0.2954 0.6338 0.4646 
234 0.2951 0.6343 0.4647 
235 0.2958 0.6350 0.4654 
236 0.2959 0.6353 0.4656 
237 0.2941 0.6359 0.4650 
238 0.2949 0.6369 0.4659 
239 0.2944 0.6371 0.4657 
240 0.2937 0.6369 0.4653 
241 0.2940 0.6370 0.4655 
242 0.2943 0.6366 0.4655 
243 0.2943 0.6370 0.4657 
244 0.2929 0.6377 0.4653 
245 0.2927 0.6376 0.4651 
246 0.2925 0.6379 0.4652 
247 0.2930 0.6375 0.4652 
248 0.2938 0.6374 0.4656 
249 0.2935 0.6376 0.4655 
250 0.2937 0.6374 0.4656 
251 0.2946 0.6384 0.4665 
252 0.2936 0.6387 0.4662 
253 0.2942 0.6389 0.4666 
254 0.2939 0.6392 0.4666 
255 0.2933 0.6395 0.4664 
256 0.2931 0.6394 0.4662 
257 0.2945 0.6394 0.4669 
258 0.2938 0.6395 0.4667 
259 0.2937 0.6393 0.4665 
260 0.2940 0.6394 0.4667 
261 0.2937 0.6400 0.4668 
262 0.2944 0.6399 0.4672 
263 0.2940 0.6400 0.4670 
264 0.2936 0.6396 0.4666 
265 0.2939 0.6401 0.4670 
266 0.2948 0.6401 0.4675 
267 0.2934 0.6401 0.4667 
268 0.2935 0.6406 0.4670 
269 0.2930 0.6410 0.4670 
270 0.2933 0.6410 0.4672 
271 0.2930 0.6407 0.4668 
272 0.2928 0.6404 0.4666 
273 0.2923 0.6402 0.4662 
274 0.2915 0.6395 0.4655 
275 0.2921 0.6401 0.4661 
276 0.2916 0.6398 0.4657 
277 0.2916 0.6398 0.4657 
278 0.2915 0.6400 0.4657 
279 0.2915 0.6400 0.4657 
280 0.2916 0.6401 0.4658 
281 0.2917 0.6401 0.4659 
282 0.2916 0.6409 0.4663 
283 0.2915 0.6406 0.4660 
284 0.2917 0.6406 0.4661 
285 0.2918 0.6403 0.4660 
286 0.2919 0.6403 0.4661 
287 0.2916 0.6404 0.4660 
288 0.2918 0.6398 0.4658 
289 0.2919 0.6396 0.4657 
290 0.2925 0.6398 0.4662 
291 0.2922 0.6399 0.4661 
292 0.2930 0.6400 0.4665 
293 0.2925 0.6396 0.4660 
294 0.2925 0.6398 0.4662 
295 0.2918 0.6396 0.4657 
296 0.2931 0.6398 0.4665 
297 0.2928 0.6394 0.4661 
298 0.2923 0.6391 0.4657 
299 0.2925 0.6392 0.4658 
300 0.2929 0.6395 0.4662 
